W M,2020,10,04,20,42,59,54903,51548,440.62,45.30,16.70,29.60,1021,11.5
W M,2020,10,04,20,43,00,54903,51548,440.52,45.30,16.70,29.60,1021,11.5
W M,2020,10,04,20,43,01,54903,51549,440.41,45.30,16.70,29.60,1021,11.5
W M,2020,10,04,20,43,02,54903,51550,440.25,45.30,16.70,29.60,1021,11.6
W M,2020,10,04,20,43,03,54903,51551,440.13,45.30,16.70,29.60,1021,11.6
W M,2020,10,04,20,43,04,54903,51551,440.22,45.30,16.70,29.60,1021,11.6
W M,2020,10,04,20,43,05,54903,51549,440.44,45.30,16.70,29.60,1021,11.6
W M,2020,10,04,20,43,06,54903,51550,440.26,45.30,16.70,29.60,1021,11.6
W M,2020,10,04,20,43,07,54903,51551,440.13,45.30,16.70,29.60,1021,11.6
W M,2020,10,04,20,43,08,54903,51552,440.01,45.30,16.70,29.60,1021,11.6
W M,2020,10,04,20,43,09,54903,51551,440.12,45.30,16.70,29.60,1021,11.5
W M,2020,10,04,20,43,10,54903,51551,440.13,45.30,16.70,29.60,1021,11.6
W M,2020,10,04,20,43,11,54903,51550,440.29,45.30,16.70,29.60,1021,11.5
W M,2020,10,04,20,43,12,54903,51550,440.31,45.30,16.70,29.60,1021,11.6
W M,2020,10,04,20,43,13,54903,51550,440.31,45.30,16.70,29.60,1021,11.6
W M,2020,10,04,20,43,14,54903,51550,440.30,45.30,16.70,29.60,1021,11.6
W M,2020,10,04,20,43,15,54903,51550,440.43,45.30,16.70,29.60,1021,11.6
W M,2020,10,04,20,43,16,54903,51548,440.64,45.30,16.70,29.60,1021,11.6
W M,2020,10,04,20,43,17,54903,51547,440.79,45.30,16.70,29.60,1021,11.6
W M,2020,10,04,20,43,18,54903,51547,440.80,45.30,16.70,29.60,1021,11.6
W M,2020,10,04,20,43,19,54903,51548,440.60,45.30,16.70,29.60,1021,11.6
W M,2020,10,04,20,43,20,54903,51550,440.26,45.30,16.70,29.60,1021,11.6
W M,2020,10,04,20,43,21,54903,51551,440.04,45.30,16.70,29.60,1021,11.5
W M,2020,10,04,20,43,22,54903,51552,439.97,45.30,16.70,29.60,1021,11.6
W M,2020,10,04,20,43,23,54903,51552,439.97,45.30,16.70,29.60,1021,11.6
W M,2020,10,04,20,43,24,54903,51552,440.01,45.30,16.70,29.60,1021,11.6
W M,2020,10,04,20,43,25,54903,51551,440.11,45.30,16.70,29.60,1021,11.6
W M,2020,10,04,20,43,26,54903,51551,440.12,45.30,16.70,29.60,1021,11.6
